#OTU ID	Delta-Compl-m13	Delta-Compl-m15	Delta-Compl-m16	Delta-Compl-m17	Delta-Compl1-49	Delta-Compl1-67	Delta-Compl3-51	Delta-Compl3-69	Delta-Compl4-52	Delta-Compl4-70	Delta-Compl5-53	Delta-Compl5-71	Delta-m11	Delta-m7	Delta-m8	Delta-m9	Delta1-43	Delta1-61	Delta2-44	Delta2-62	Delta3-45	Delta3-63	Delta5-47	Delta5-65	WT-m2	WT-m3	WT-m4	WT-m5	WT2-38	WT2-56	WT3-39	WT3-57	WT4-40	WT4-58	WT5-41	WT5-59
OTU_1	1851	6460	1573	832	571	1183	1525	4892	4934	363	1595	514	2227	1236	2886	4056	2134	1732	7300	652	4194	3026	2200	6236	4329	2183	3066	1203	706	505	6269	653	3240	2261	2744	813
OTU_10	91	1	58	1430	48	33	47	163	430	173	604	217	96	62	2531	6531	13	10	0	1887	1072	1548	12	15	155	56	3	144	229	425	67	285	2486	13286	176	188
OTU_100	2	1	2	12	14	5	8	11	2	2	25	7	20	10	6	1	5	4	1	5	0	6	3	0	11	1	3	7	6	2	7	43	4	28	7	1
OTU_101	1220	100	212	65	4	0	2	0	89	1	6	2	25	14	4	25	2	0	18	255	0	4	6	0	4	122	800	198	2	0	1	0	7	0	34	0
OTU_102	328	103	240	85	11	2	23	63	175	3	28	15	391	156	75	151	18	87	73	135	50	68	21	26	89	91	265	169	7	5	55	1	55	87	56	20
OTU_103	13	8	4	92	69	14	316	66	76	11	89	10	220	5	2	18	7	3	7	1	35	15	10	1	6	5	3	153	39	8	12	4	3	22	6	1
OTU_104	7	11	60	52	45	28	23	25	69	34	120	12	38	1	2	0	9	5	2	0	0	10	26	21	30	10	0	80	41	48	7	19	0	0	5	4
OTU_105	239	37	16	0	0	1	0	0	0	0	0	0	231	78	14	38	0	0	15	8	0	0	0	0	163	0	95	0	0	0	0	0	0	7	0	1
OTU_106	38	0	40	0	65	15	10	2	391	166	1	0	5	19	0	0	19	49	0	0	0	18	0	0	8	13	0	230	39	61	53	6	0	1	139	29
OTU_107	65	34	88	68	46	10	12	12	24	2	20	2	66	50	18	22	10	2	27	13	7	7	13	1	24	8	74	75	22	7	6	2	4	4	16	2
OTU_108	27	9	11	7	14	15	31	35	20	16	37	10	49	10	231	0	1	0	32	1	1	0	4	6	19	1	6	44	15	97	10	41	3	31	36	12
OTU_109	0	0	0	0	41	47	43	0	88	0	69	0	2	0	1	0	291	14	281	0	75	1	121	2	0	2	0	0	23	1	270	1	1220	172	148	0
OTU_11	606	10	853	115	17	0	38	1	167	0	2	3	191	35	31	1227	119	1472	117	44	107	10	0	0	33	396	208	561	7	3	55	1	390	4001	19	1
OTU_110	40	112	9	114	57	30	5	20	10	14	34	39	27	14	46	9	14	44	2	61	6	16	57	153	66	32	3	40	23	89	6	17	6	37	28	62
OTU_111	115	1	28	9	107	10	13	10	24	3	2	1	98	20	6	120	17	17	0	33	13	11	0	0	95	29	3	99	11	4	28	1	20	39	19	11
OTU_112	506	771	251	229	19	98	67	263	437	67	6	22	410	273	226	586	13	46	26	147	370	165	3	182	89	148	189	139	14	154	193	73	19	26	154	60
OTU_113	28	0	70	0	10	0	15	1	352	13	1	0	1	0	3	0	6	6	8	0	0	16	0	0	2	13	2	12	24	7	0	1	0	13	167	16
OTU_114	50	61	37	29	19	12	4	21	11	3	16	3	52	29	3	38	11	17	7	16	5	9	3	6	26	25	12	30	14	9	13	5	4	9	4	16
OTU_115	51	27	27	37	21	41	8	108	53	20	30	28	35	23	16	25	4	12	18	15	7	31	7	26	35	16	13	11	4	13	19	14	21	7	8	24
OTU_116	2	0	20	0	1	0	0	0	4	10	5	39	3	9	3	0	0	1	0	0	0	0	0	0	2	0	0	0	2	56	1	3	4	33	1	11
OTU_117	4	0	14	3	63	4	229	55	162	8	6	1	91	0	0	0	0	0	0	0	0	1	0	0	5	1	0	233	34	0	0	0	0	2	36	6
OTU_118	7	112	5	34	2	0	23	10	24	0	0	0	35	5	14	43	3	5	1	13	56	19	22	31	10	154	4	1	0	2	15	0	14	47	1	0
OTU_119	6	16	9	25	51	18	37	15	28	4	44	1	24	2	11	16	21	8	7	19	13	11	17	6	10	11	9	35	33	9	30	14	7	22	46	8
OTU_12	76	62	1137	192	4	0	36	799	371	432	217	133	30	43	1459	472	117	178	399	130	498	1900	40	717	207	245	63	80	88	598	132	189	56	76	57	634
OTU_120	68	23	37	214	4	0	150	81	95	53	141	19	184	7	78	0	44	27	81	0	0	13	75	50	20	22	4	2	58	57	31	24	0	0	68	36
OTU_121	174	1029	7	1	34	16	3	5	167	19	0	0	11	207	207	75	25	10	37	50	53	32	128	213	83	42	89	26	15	52	68	15	17	87	17	12
OTU_122	40	55	14	16	48	8	3	25	5	10	36	13	15	6	15	6	15	10	11	2	5	4	8	24	10	75	22	21	15	36	0	3	0	4	16	5
OTU_123	40	5	48	77	60	54	40	59	22	3	19	9	124	6	22	62	5	20	0	4	13	15	0	1	88	14	4	114	36	337	25	278	4	18	4	10
OTU_124	13	15	4	43	8	12	42	20	32	11	28	6	69	15	69	55	3	5	21	13	19	11	10	9	15	4	35	35	21	62	12	17	5	31	6	2
OTU_125	8	2	3	49	37	88	84	44	2	3	37	7	59	3	152	0	17	8	45	0	0	8	9	71	17	8	0	44	4	142	15	154	0	0	36	12
OTU_126	20	33	23	32	20	13	11	43	16	10	35	21	14	12	22	10	6	16	7	15	2	8	19	18	7	11	14	31	30	4	11	8	11	14	9	3
OTU_127	31	19	45	7	8	4	44	49	23	8	10	0	77	49	22	1	41	10	10	6	1	6	22	9	20	29	12	58	29	46	49	59	0	6	29	10
OTU_128	17	4	25	15	54	29	44	30	93	35	29	4	41	13	0	2	15	4	0	7	0	6	10	6	9	15	0	69	60	0	4	1	1	22	27	14
OTU_129	229	49	4	242	2	0	7	15	16	11	31	7	7	6	50	29	9	13	16	26	18	36	9	34	65	1	16	2	55	28	14	6	0	21	51	25
OTU_13	495	791	129	212	384	294	61	124	112	67	276	94	299	128	548	138	55	128	50	200	24	85	18	170	454	291	192	293	249	125	38	271	45	247	82	80
OTU_130	47	0	13	10	31	6	45	33	4	8	79	9	132	12	29	11	13	29	1	23	32	12	0	1	7	2	0	1	2	15	34	156	11	70	40	21
OTU_131	56	1	44	27	35	145	0	0	0	3	52	16	30	35	40	11	18	64	2	2	1	50	2	12	254	24	0	8	14	258	0	7	3	21	0	0
OTU_132	11	9	10	35	28	26	20	22	13	8	25	3	55	12	27	5	10	4	8	21	6	3	6	6	11	6	12	35	65	15	13	80	2	21	13	4
OTU_133	5	7	1	3	2	0	4	0	159	0	12	0	6	12	8	10	1	2	38	0	11	2	1	0	19	15	18	3	0	0	19	0	0	1	0	0
OTU_134	2	9	10	10	24	44	11	28	18	17	12	2	55	16	9	16	8	11	1	4	0	6	8	10	25	29	12	64	6	32	6	52	4	18	1	6
OTU_135	98	24	21	20	37	23	46	19	9	3	26	3	50	41	23	36	9	4	11	5	34	34	8	11	7	2	6	20	23	82	25	28	6	39	106	57
OTU_136	5	1	12	1	32	19	7	16	52	15	54	5	5	1	7	0	2	3	0	5	4	8	7	6	5	15	0	34	37	20	19	29	14	22	5	5
OTU_137	2	1	16	4	1	37	1	2	3	5	15	7	5	20	38	4	2	0	7	0	0	3	5	22	49	16	0	8	1	27	16	81	0	0	12	25
OTU_138	30	3	14	12	6	34	29	14	26	3	11	1	80	26	13	24	9	10	0	22	8	10	1	3	11	10	3	23	5	57	11	68	8	244	19	6
OTU_139	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478	995	0	0	0	0
OTU_14	402	393	469	316	68	43	80	344	598	21	160	138	349	190	307	301	277	892	298	98	338	423	151	366	371	472	278	360	59	40	564	38	228	347	281	91
OTU_140	11	3	5	23	44	3	28	4	19	8	44	1	22	8	26	5	5	3	8	15	4	1	15	3	7	4	5	18	38	17	15	8	5	23	15	3
OTU_141	0	0	6	22	38	16	0	0	107	1	4	6	1	0	2	0	0	0	0	11	0	0	0	0	5	0	0	22	0	2	0	2	5	94	1	0
OTU_142	145	61	133	35	5	2	2	20	14	3	7	10	118	76	19	57	16	223	3	40	3	22	2	12	144	185	54	63	2	7	10	1	21	31	1	3
OTU_143	38	12	33	26	17	3	7	9	12	0	20	1	87	13	5	7	2	0	2	12	2	2	10	4	2	5	11	27	2	5	4	0	1	6	6	6
OTU_144	10	1	27	6	34	0	19	3	6	0	0	1	19	0	0	0	2	13	1	0	0	0	1	0	23	91	33	84	0	0	16	0	0	0	1	0
OTU_145	63	5	50	0	133	85	1	5	0	1	9	1	0	30	0	0	11	63	0	0	0	61	3	56	40	9	1	71	3	12	35	12	2	1	6	11
OTU_146	0	2	3	173	0	1	0	1	0	0	29	9	1	1	0	2	1	0	1	3	0	4	0	8	0	2	0	8	0	1	0	4	2	6	0	0
OTU_147	24	16	10	26	20	27	59	31	20	23	38	5	86	34	79	77	10	6	35	18	7	15	21	37	21	12	37	29	18	68	10	54	5	64	27	19
OTU_148	14	1	0	27	40	117	55	145	0	0	30	24	42	24	406	38	18	16	46	7	17	46	2	8	42	34	0	23	22	168	1	106	27	29	18	102
OTU_149	107	37	60	90	84	51	175	132	108	46	160	17	404	79	131	62	37	18	46	42	10	33	48	34	48	26	81	227	141	134	57	112	8	64	112	33
OTU_15	319	0	183	0	209	83	149	375	252	318	1	1	440	44	0	0	480	1112	0	3	0	227	0	0	167	149	0	328	784	2107	95	1142	1	1	483	373
OTU_150	35	37	24	1	3	65	34	57	5	18	16	5	17	25	1	0	85	225	0	1	0	33	19	196	76	23	0	49	92	57	19	138	20	68	41	5
OTU_151	54	130	10	11	23	31	23	57	120	135	60	8	26	46	901	114	60	75	224	231	46	86	177	224	72	10	104	60	40	370	57	359	105	789	65	63
OTU_152	24	8	28	8	23	17	2	23	4	3	4	2	23	10	8	10	9	12	3	12	5	7	4	1	30	44	16	15	5	4	8	1	5	7	6	6
OTU_153	49	1	8	99	18	12	12	69	5	1	24	10	23	3	7	17	11	21	1	14	2	6	0	5	31	17	0	12	1	23	5	2	2	15	31	63
OTU_154	0	3	0	13	2	1	0	0	0	0	15	14	5	6	7	9	2	1	0	94	26	115	0	0	1	4	1	0	15	0	19	0	1	11	1	9
OTU_155	24	0	14	26	83	17	8	26	0	0	409	23	1	26	2	1	6	2	0	2	0	2	0	1	7	39	2	18	55	109	86	8	1	2	68	19
OTU_156	27	18	22	49	38	38	40	33	22	14	68	3	90	11	8	49	7	8	2	16	10	17	12	4	16	14	2	58	22	71	18	12	1	34	32	21
OTU_157	17	12	4	13	9	17	22	34	8	11	20	7	68	13	28	13	8	9	12	8	1	8	4	19	9	10	15	20	11	46	3	33	4	29	7	12
OTU_158	11	7	5	1	2	1	51	55	0	0	7	0	84	20	13	0	19	5	3	2	0	0	14	6	30	14	1	2	1	178	30	22	0	0	22	4
OTU_159	43	2	12	16	37	38	48	38	22	7	19	0	58	9	45	36	12	8	20	6	15	22	4	1	5	10	5	44	40	74	19	44	3	35	67	23
OTU_16	84	34	93	204	265	117	325	150	891	80	167	37	65	41	143	220	61	32	39	121	406	128	63	70	42	76	42	329	40	149	453	202	91	1038	417	44
OTU_160	9	2	95	10	3	0	9	4	0	0	27	2	259	11	3	5	0	3	1	7	25	1	0	2	3	10	3	50	0	1	7	0	9	24	2	0
OTU_161	66	30	13	120	8	3	98	73	88	10	73	12	34	56	51	22	2	4	58	5	5	15	43	36	84	37	38	142	18	82	19	51	8	12	35	25
OTU_162	15	0	10	8	8	17	14	22	10	12	19	5	33	9	2	0	14	12	0	5	1	1	1	4	4	7	2	3	34	55	16	15	0	15	32	10
OTU_163	22	12	22	18	18	26	21	66	28	13	25	6	110	19	58	4	4	4	3	16	1	18	13	24	59	6	8	31	17	219	9	70	3	31	9	13
OTU_164	33	9	21	38	9	14	3	6	6	3	25	3	66	21	26	17	2	1	0	12	1	4	4	4	9	8	19	35	7	57	4	39	2	12	5	4
OTU_165	27	44	4	23	8	4	16	1	12	1	21	0	4	7	7	0	1	1	0	0	0	0	94	14	29	5	1	24	66	13	6	7	0	0	31	3
OTU_166	57	6	479	89	646	740	378	934	742	258	292	31	2047	132	9	3	189	70	4	1	0	326	9	17	1458	486	0	1632	728	490	291	4899	1	11	222	324
OTU_167	42	4	22	35	20	8	26	8	33	6	12	0	59	6	5	2	4	10	2	0	2	13	8	4	15	15	2	14	7	33	2	2	0	9	29	2
OTU_168	7	6	19	3	1	1	48	11	7	4	50	4	33	1	13	5	16	19	2	0	6	8	2	3	18	18	0	0	0	0	2	1	0	0	2	8
OTU_169	13	7	4	18	10	0	5	4	5	1	37	2	10	9	1	6	4	1	9	7	5	1	12	3	14	0	13	6	10	1	20	1	7	7	19	1
OTU_17	123	5	934	25	4	0	28	1	223	0	8	1	78	56	27	527	11	1103	295	497	197	6	0	0	133	127	60	207	3	3	95	0	164	2083	83	14
OTU_170	1	0	5	3	2	5	14	9	9	3	37	7	17	30	4	1	9	8	0	0	1	2	0	0	37	16	0	0	21	93	20	138	0	1	2	4
OTU_171	15	11	12	15	14	18	6	15	23	4	13	1	28	9	14	16	3	7	5	10	12	6	8	3	25	14	6	29	6	15	4	3	0	10	6	4
OTU_172	3	1	12	7	9	22	6	14	2	6	1	4	40	4	17	6	4	13	4	4	0	2	3	7	5	4	4	13	3	31	0	47	2	32	4	10
OTU_173	38	0	7	0	19	1	0	0	0	0	0	0	0	2	24	0	0	0	42	0	0	0	0	0	0	0	25	56	0	0	9	0	0	0	7	0
OTU_174	3	1	0	1	2	0	16	0	22	0	11	0	0	0	0	0	2	0	8	0	1	0	13	0	0	0	0	3	12	0	0	0	1	0	23	0
OTU_175	69	11	12	9	22	10	8	32	11	8	4	4	20	8	19	108	7	11	0	27	54	28	1	1	22	20	0	4	14	0	11	30	71	47	45	18
OTU_176	5	4	8	6	24	16	9	18	0	0	9	6	17	8	15	6	5	5	7	6	10	11	3	8	13	2	5	36	12	11	14	38	4	15	0	6
OTU_177	59	0	7	4	34	31	22	52	23	9	14	0	62	3	12	1	1	2	4	6	0	3	0	0	5	3	0	22	16	20	5	9	7	18	49	21
OTU_178	24	4	2	9	1	0	2	5	7	13	25	10	10	22	38	53	11	8	3	26	16	29	14	15	26	11	2	1	22	149	11	89	14	76	62	27
OTU_179	10	21	55	14	80	41	28	37	20	2	17	3	106	76	28	227	15	2	20	36	46	28	4	3	96	52	25	114	39	16	92	28	21	32	6	4
OTU_18	45	2	9	1995	0	0	0	0	165	47	1991	247	0	61	278	484	18	24	0	186	388	257	0	2	7	103	6	16	128	2	49	12	51	113	29	9
OTU_180	18	3	5	14	19	10	11	4	11	0	27	0	16	10	9	2	3	0	2	7	3	2	6	0	0	5	6	18	5	3	9	5	1	5	11	2
OTU_181	8	8	2	4	0	2	2	2	1	0	17	4	18	2	30	0	4	4	2	28	0	1	1	14	15	2	3	1	1	29	4	1	17	142	2	1
OTU_182	10	2	6	9	9	47	2	13	1	4	7	2	16	8	15	8	8	10	1	6	1	3	0	21	16	5	4	16	4	159	8	53	2	10	7	6
OTU_183	12	0	11	0	8	0	0	1	10	19	9	1	1	52	2	0	1	1	0	0	0	5	0	0	7	0	2	8	1	446	25	315	0	1	26	8
OTU_184	13	8	18	21	13	23	16	23	21	32	38	14	50	5	7	0	6	20	0	1	0	7	7	15	4	2	1	18	12	26	2	74	0	12	10	32
OTU_185	17	0	2	0	4	1	5	16	0	0	0	0	15	1	0	0	0	0	0	0	0	2	0	0	20	1	0	14	6	42	0	28	0	0	23	39
OTU_186	58	41	10	2	10	8	16	10	5	4	6	0	45	5	0	2	14	7	0	0	0	1	17	46	3	21	1	15	7	3	6	10	0	2	13	7
OTU_187	3	1	10	10	23	22	15	29	13	4	25	3	21	10	10	15	4	2	5	2	7	7	5	6	14	10	2	8	14	7	12	6	5	4	14	4
OTU_188	10	18	2	2	28	7	8	28	1	0	6	16	1	0	2	0	0	1	1	0	0	3	4	18	3	7	3	3	2	0	5	2	0	1	1	1
OTU_189	6	13	2	15	10	6	12	14	3	8	13	2	27	14	7	5	3	4	0	5	2	4	3	4	6	11	0	14	5	6	2	30	1	32	4	1
OTU_19	453	530	202	277	35	74	95	340	606	35	247	113	239	315	367	634	205	107	776	223	602	566	135	340	450	331	580	177	26	58	465	34	503	320	136	95
OTU_190	28	29	23	19	33	35	53	20	45	23	32	4	69	7	81	5	21	40	33	3	3	7	14	7	65	24	31	24	52	115	4	32	0	13	14	13
OTU_191	22	14	27	79	44	25	11	13	21	14	24	5	26	8	13	0	4	4	0	10	0	2	10	5	15	8	0	52	24	28	8	18	10	13	21	10
OTU_192	1	7	1	7	5	1	7	14	1	0	1	0	30	2	6	34	8	2	3	0	11	7	3	1	4	2	5	0	3	6	2	3	0	5	1	3
OTU_193	4	2	8	7	8	3	11	7	6	5	37	3	18	8	7	3	6	0	5	4	3	4	5	2	10	3	2	6	11	14	8	13	5	10	9	0
OTU_194	0	0	0	0	0	0	4	12	0	0	0	0	2	3	0	0	6	29	0	0	0	0	1	1	10	4	0	0	3	119	9	408	0	0	0	0
OTU_195	28	33	32	16	9	39	2	77	17	13	5	23	34	15	16	20	7	27	7	9	8	31	8	29	14	15	16	11	3	3	8	8	8	11	4	22
OTU_196	15	42	7	11	29	4	2	20	3	4	14	1	10	2	0	0	13	7	0	0	0	1	12	45	16	8	0	11	8	12	2	3	0	0	12	4
OTU_197	0	1	3	5	16	32	4	10	3	1	22	1	9	6	10	2	3	4	2	2	0	5	2	4	7	1	4	11	27	28	3	31	0	5	5	2
OTU_198	11	5	11	9	8	7	7	7	8	9	19	2	17	7	16	12	6	0	6	4	0	6	5	2	8	2	3	15	11	54	3	15	1	18	6	6
OTU_199	11	8	23	39	45	33	26	10	26	9	45	1	34	3	9	16	7	9	3	10	8	10	13	6	5	8	0	32	12	73	14	23	1	31	15	2
OTU_2	1219	4761	643	715	67	35	809	776	1238	12	633	106	2881	1677	1280	3655	3317	1292	3548	365	3451	2372	1180	1412	3266	4018	1434	508	170	269	4914	175	986	847	526	231
OTU_20	73	266	68	46	171	229	135	167	114	95	26	12	314	32	878	165	27	22	245	255	49	155	62	169	415	45	129	359	116	36	56	327	115	1338	33	75
OTU_200	5	3	7	4	3	0	2	10	9	1	4	1	22	17	2	2	0	0	4	5	6	2	0	1	5	2	8	2	2	0	4	2	3	5	0	1
OTU_201	1	0	5	3	0	0	3	0	0	0	0	0	3	8	3	21	0	0	0	0	9	6	0	2	0	0	0	0	0	0	0	0	0	0	1	0
OTU_202	15	4	1	8	29	8	15	6	23	9	11	1	17	2	5	6	1	2	1	2	1	3	8	2	2	1	2	20	9	13	3	8	1	14	17	8
OTU_203	3	0	2	0	13	12	4	11	13	6	7	0	19	7	4	2	12	3	3	2	0	0	2	3	3	7	0	11	3	16	6	19	0	6	9	4
OTU_204	2	1	0	5	9	4	6	7	11	0	10	0	12	1	10	6	1	1	2	3	1	2	1	2	2	2	10	8	5	0	5	0	3	9	0	1
