sample	Raw_reads_fwd	Raw_mean_length_fwd	Raw_median_length_fwd	Raw_reads_rev	Raw_mean_length_rev	Raw_median_length_rev	Trimmed	Trimmed_fwd	Trimmed_rev	Removed	Removed_fwd	Removed_rev	Host_1_time	Host_>1_time	Phi_phage_1_time	Phi_phage_>1_time	Filtered_reads_fwd	Filtered_mean_length_fwd	Filtered_median_length_fwd	Filtered_reads_rev	Filtered_mean_length_rev	Filtered_median_length_rev	Combined pairs	Uncombined pairs	Selected_dereplication	Selected_singleton	Selected_chimera	Selected_otu	Mapped_reads	Mapping_percent_combined
Delta-Compl4-52	382421	300	301	382421	300	301	560388	240191	320197	128103	69648	58455	1	4	202	0	279894	275	294	279894	212	216	51912	279894	32488	721	572	17	39182	14.0
Delta3-45	210885	300	300	210885	300	301	310452	131207	179245	65137	36026	29111	0	4	136	0	158397	277	295	158397	217	222	31791	158397	17784	456	340	12	25609	16.17
WT3-57	304309	300	301	304309	300	301	449904	197515	252389	100972	52291	48681	1	1	180	0	223500	276	294	223500	205	210	47544	223500	31547	653	465	28	34952	15.64
Delta-Compl5-71	79038	300	301	79038	300	301	114783	49047	65736	27381	14939	12442	0	1	55	0	57206	274	294	57206	212	216	13893	57206	9006	162	119	2	9630	16.83
Delta-m7	174333	300	301	174333	300	301	256037	109172	146865	56589	31135	25454	0	3	111	0	128746	274	294	128746	212	216	25343	128746	14571	348	305	25	21469	16.68
WT4-58	338059	300	301	338059	300	301	497875	214611	283264	111649	60346	51303	0	4	208	0	248283	274	294	248283	212	216	75138	248283	46778	1049	725	18	52820	21.27
Delta5-65	206406	300	301	206406	300	301	300394	125935	174459	66636	37242	29394	0	1	110	0	152836	276	295	152836	214	219	32464	152836	19250	468	347	10	24479	16.02
WT2-56	286047	300	301	286047	300	301	417406	176232	241174	94027	52040	41987	0	4	199	0	210367	274	294	210367	209	214	50835	210367	34541	641	495	25	36341	17.28
Delta-Compl-m13	411102	300	301	411102	300	301	593586	249525	344061	140111	77498	62613	0	6	252	0	298688	273	294	298688	211	216	52642	298688	32333	763	635	30	42022	14.07
WT2-38	149166	300	301	149166	300	301	217206	94928	122278	54791	29386	25405	0	2	86	0	105704	273	294	105704	208	213	24481	105704	16504	329	245	13	16957	16.04
WT4-40	168601	300	301	168601	300	301	254714	112403	142311	54100	29753	24347	0	2	106	0	124970	274	293	124970	218	223	32342	124970	19370	437	313	4	23847	19.08
WT5-41	204241	300	301	204241	300	301	299905	127886	172019	65883	36045	29838	0	5	131	0	151275	275	294	151275	213	217	33393	151275	21349	436	335	19	23720	15.68
WT5-59	110399	300	301	110399	300	301	161367	68585	92782	36879	20400	16479	0	2	67	0	80888	275	294	80888	211	215	18050	80888	11695	234	175	4	12663	15.65
WT3-39	426714	300	301	426714	300	301	646171	286374	359797	134714	72659	62055	0	5	273	0	317913	276	295	317913	217	222	66918	317913	42471	908	675	5	49513	15.57
Delta1-61	150685	300	301	150685	300	301	220462	94303	126159	49686	26619	23067	0	2	70	0	111206	275	293	111206	212	216	29193	111206	18580	353	248	8	19507	17.54
Delta-Compl-m17	293679	300	301	293679	300	301	423938	178372	245566	100063	55032	45031	2	4	175	0	213390	274	294	213390	211	215	48609	213390	29631	658	488	17	36785	17.24
Delta-Compl3-69	308175	300	301	308175	300	301	453279	194094	259185	101330	55759	45571	0	7	187	0	226863	275	294	226863	212	216	48981	226863	31543	672	485	19	34443	15.18
Delta-m8	357725	300	301	357725	300	301	517131	220008	297123	125402	68211	57191	0	3	180	0	257780	274	294	257780	209	214	58025	257780	36015	768	593	24	44004	17.07
Delta-Compl3-51	224372	300	301	224372	300	301	338692	149956	188736	71554	38352	33202	0	4	158	0	166502	276	294	166502	214	217	36884	166502	23754	469	377	5	28536	17.14
WT-m5	289245	300	301	289245	300	301	423686	182534	241152	98841	53785	45056	0	1	179	0	209669	273	293	209669	210	214	50982	209669	31365	709	534	23	37473	17.87
Delta-Compl5-53	237864	300	301	237864	300	301	345033	146824	198209	81600	44476	37124	0	1	133	0	172685	274	294	172685	211	216	43603	172685	25331	583	494	30	35855	20.76
Delta-Compl-m16	288015	300	301	288015	300	301	419243	181557	237686	103737	56050	47687	0	2	147	0	205432	272	292	205432	210	215	46850	205432	29332	618	467	13	32315	15.73
Delta3-63	222072	300	301	222072	300	301	326450	139590	186860	72059	39360	32699	0	3	135	0	164258	276	294	164258	212	216	35082	164258	21830	460	313	7	25479	15.51
Delta2-62	164442	300	301	164442	300	301	242339	102632	139707	51963	28810	23153	0	0	81	0	122402	275	294	122402	212	216	26257	122402	16825	363	268	7	18130	14.81
Delta-Compl-m15	418436	300	300	418436	300	301	609183	256037	353146	136278	75936	60342	0	3	255	0	308899	276	295	308899	215	220	60440	308899	35027	811	613	5	47082	15.24
Delta-Compl4-70	107928	300	301	107928	300	301	156568	67392	89176	39155	21383	17772	0	3	78	0	76922	273	294	76922	206	212	16613	76922	11364	174	140	10	11299	14.69
WT-m3	200504	300	301	200504	300	301	292608	125811	166797	69132	37775	31357	0	4	140	0	145400	274	293	145400	213	218	37222	145400	21117	573	433	13	28638	19.7
Delta-m9	387761	300	301	387761	300	301	565080	239350	325730	128635	71108	57527	0	2	253	0	284571	275	294	284571	215	220	58559	284571	32964	859	699	9	48851	17.17
WT-m4	230052	300	301	230052	300	301	335061	142590	192471	77842	42667	35175	0	3	140	0	167547	273	293	167547	213	217	40772	167547	23115	582	462	14	32119	19.17
Delta1-43	111119	300	301	111119	300	301	164940	71319	93621	34819	18704	16115	1	1	65	0	83251	277	295	83251	215	220	21736	83251	12491	317	253	7	17020	20.44
Delta5-47	105780	300	301	105780	300	301	157377	68178	89199	33588	18311	15277	0	4	65	0	78600	275	294	78600	213	216	20546	78600	12155	261	196	10	15873	20.19
WT-m2	242914	300	301	242914	300	301	361823	156379	205444	76300	41634	34666	0	3	160	0	181775	276	294	181775	217	222	50961	181775	30056	665	491	15	38556	21.21
Delta-Compl1-49	170821	300	301	170821	300	301	247551	105837	141714	59032	31731	27301	0	0	109	0	123723	274	294	123723	210	215	32198	123723	20453	429	322	22	23107	18.68
Delta-m11	531205	300	301	531205	300	301	776271	332807	443464	179648	97377	82271	3	7	342	0	387405	273	293	387405	210	214	79758	387405	52846	1013	749	32	54655	14.11
Delta-Compl1-67	161052	300	301	161052	300	301	233910	100272	133638	56175	30391	25784	0	1	116	0	116422	275	294	116422	210	214	28502	116422	17937	358	269	13	20844	17.9
Delta2-44	206706	300	301	206706	300	301	296977	128605	168372	76640	41011	35629	10	2	131	0	146356	273	294	146356	214	219	37769	146356	21196	571	421	14	28951	19.78
