#OTU ID	1ng-25cycles-1_S38	1ng-25cycles-2_S39	1ng-25cycles-3_S40	1ng-30cycles-1_S50	1ng-30cycles-2_S51	1ng-30cycles-3_S52	20ng-20cycles-1_S14	20ng-20cycles-2_S15	20ng-20cycles-3_S16	20ng-25cycles-1_S2	20ng-25cycles-2_S3	20ng-25cycles-3_S4	5ng-25cycles-1_S26	5ng-25cycles-2_S27	5ng-25cycles-3_S28	zero5ng-25cycles-1_S62	zero5ng-25cycles-2_S63	zero5ng-25cycles-3_S64	zero5ng-30cycles-1_S74	zero5ng-30cycles-2_S75	zero5ng-30cycles-3_S76
OTU_1	20360	31734	26239	39341	51068	34607	43387	51788	45285	45424	38082	46877	29728	34067	36653	43241	45307	31809	49944	29197	12686
OTU_10	15	0	12	23	4	6	20	20	12	25	1	12	40	0	25	23	4	16	50	8	5
OTU_11	31	41	19	107	104	55	46	44	33	107	137	82	43	63	44	18	27	20	138	61	18
OTU_12	81	146	101	305	409	193	177	233	141	336	403	350	167	239	182	128	186	92	378	243	54
OTU_13	8	5	18	40	8	6	30	27	20	33	1	22	50	6	54	18	0	24	62	19	4
OTU_14	33	81	36	181	210	103	57	103	59	183	211	175	106	123	112	61	93	26	248	189	24
OTU_15	24	77	27	101	174	79	39	76	57	100	133	103	66	49	50	52	77	35	71	102	19
OTU_16	3	1	3	32	1	2	14	11	1	11	8	9	16	7	21	6	1	9	10	13	4
OTU_17	0	2	0	4	4	0	6	3	2	5	3	1	1	2	6	1	0	2	9	5	0
OTU_18	24	47	39	86	129	54	35	80	60	82	121	96	38	88	85	53	71	28	85	57	8
OTU_19	12	37	15	60	83	53	41	54	22	63	91	77	55	70	49	20	49	22	66	59	7
OTU_2	18676	27903	26126	34853	50574	32174	42742	55406	45490	37495	29397	35607	30330	40305	37747	45089	50059	35897	46262	33097	9973
OTU_20	0	7	4	10	11	10	0	0	0	0	0	0	0	3	0	14	20	5	16	6	0
OTU_21	3	1	1	20	5	2	4	6	11	2	8	10	8	8	4	2	3	2	13	6	3
OTU_22	0	0	0	0	5	1	1	0	2	1	0	5	5	0	0	0	1	1	8	0	1
OTU_23	5	0	0	4	5	0	0	2	2	4	0	7	5	1	1	0	0	2	5	0	0
OTU_24	2	4	4	13	5	4	0	0	1	0	1	0	0	2	2	18	6	2	16	8	4
OTU_25	2	1	1	3	6	1	0	2	1	3	6	6	0	2	7	0	0	0	5	3	0
OTU_26	26	61	23	103	136	69	30	85	72	114	104	102	50	89	98	43	63	37	120	67	14
OTU_27	0	0	5	2	0	0	0	2	2	1	0	2	0	0	0	2	0	0	3	0	0
OTU_28	12	18	13	39	60	38	15	25	22	61	41	54	22	41	16	13	33	6	63	21	9
OTU_29	0	0	0	3	0	2	0	3	9	2	0	0	4	0	1	4	0	0	2	3	0
OTU_3	15314	25794	20477	27080	42310	25483	35798	49896	38160	29170	26927	30129	24028	32206	32946	37830	44979	31431	35228	26258	7556
OTU_30	0	2	0	2	0	0	0	0	0	2	0	3	0	0	1	0	0	0	6	0	0
OTU_31	2	0	1	1	0	0	0	3	1	1	2	0	0	5	2	0	0	2	0	0	0
OTU_32	0	0	0	0	3	0	5	1	0	2	0	2	0	0	0	2	0	0	2	0	0
OTU_33	2	1	0	0	0	1	5	1	2	7	0	1	2	5	0	1	2	2	8	6	1
OTU_34	2	3	0	2	0	2	1	2	0	1	0	1	0	0	0	0	0	2	2	0	0
OTU_35	0	0	1	2	0	0	3	3	3	1	2	1	5	2	0	1	0	0	6	3	0
OTU_36	1	0	0	3	0	0	0	0	2	0	0	2	1	1	2	1	4	2	2	5	0
OTU_37	0	0	0	3	0	1	0	0	0	0	0	2	0	2	0	1	0	0	1	2	0
OTU_38	18	49	21	76	100	69	42	57	37	92	102	72	55	87	75	33	69	20	91	65	16
OTU_39	0	3	0	0	0	0	0	0	0	0	4	1	0	0	1	2	0	0	4	0	0
OTU_4	16885	29352	20248	35722	51543	31124	43834	49443	39468	39295	32315	31447	31638	39818	43126	48856	47605	32203	48057	32531	7283
OTU_40	34	71	39	152	211	70	92	144	72	129	144	113	90	124	126	80	109	60	197	91	28
OTU_41	1	0	0	1	0	1	0	2	0	1	0	0	0	0	1	2	0	0	0	0	0
OTU_42	122	234	132	459	646	276	214	352	261	426	501	439	250	410	337	201	335	118	554	346	88
OTU_43	3	8	2	24	21	15	3	9	6	48	33	20	15	6	13	6	3	0	28	19	7
OTU_44	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	3	4	0	12	0
OTU_45	0	0	0	0	1	0	0	0	0	0	0	0	3	3	0	0	0	0	5	3	0
OTU_46	1	2	2	4	7	1	5	0	0	0	6	0	0	1	7	1	4	1	2	4	0
OTU_47	251	434	240	910	1133	514	426	752	465	976	922	818	459	718	581	386	562	280	1158	758	51
OTU_48	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	3	0	0	0	0	0
OTU_49	286	510	294	1191	1456	598	540	800	498	1240	1044	1044	597	1024	748	435	610	315	1447	815	77
OTU_5	14126	24363	19543	28630	43085	22741	32492	43287	35159	32594	29854	35222	24098	33055	33176	33168	40478	29085	38149	27187	3814
OTU_50	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	1	0	0	0	0	0
OTU_51	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0
OTU_52	38	59	28	107	107	54	71	89	47	98	95	118	61	88	70	40	51	20	151	92	7
OTU_53	79	157	90	345	430	135	164	269	147	350	316	307	175	259	193	112	211	95	435	250	21
OTU_54	0	0	0	2	0	0	0	0	0	0	0	2	3	0	1	0	0	1	1	0	0
OTU_55	43	93	43	179	237	168	107	140	120	241	250	230	129	169	142	88	152	47	231	165	24
OTU_56	0	0	2	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
OTU_57	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	1
OTU_58	0	0	0	0	2	0	0	0	0	4	0	2	0	0	0	1	0	0	0	2	0
OTU_59	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	6	1	2	6	2	1
OTU_6	10221	17184	13612	20142	30222	18339	22934	29582	23374	22158	21126	24194	16763	22817	21790	23266	28458	18470	26889	19066	5882
OTU_60	52	69	40	147	235	118	81	135	97	152	160	189	109	146	88	54	98	44	191	136	50
OTU_61	5	10	0	24	19	13	7	6	3	20	22	15	6	14	15	2	6	0	38	13	6
OTU_62	23	94	38	137	188	107	58	89	80	189	143	141	83	130	97	61	75	34	149	123	20
OTU_63	0	0	0	0	0	0	0	1	0	2	0	0	1	0	1	0	0	2	0	0	0
OTU_64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
OTU_65	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_66	104	191	79	439	444	250	168	311	180	365	390	277	203	285	269	139	249	72	427	262	80
OTU_67	128	216	117	407	543	262	223	311	203	420	398	352	209	278	343	194	282	118	471	296	71
OTU_68	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_69	3	2	1	10	9	9	9	9	3	10	8	9	2	10	2	5	9	3	15	7	8
OTU_7	7592	13857	9387	13681	22111	12021	16756	22535	17609	15537	14537	15067	10473	14958	15970	17494	21041	13521	17356	13458	4075
OTU_70	4	4	3	43	32	16	1	10	1	37	24	20	3	16	8	5	1	1	30	18	2
OTU_8	6475	11438	8766	13541	20838	9719	15078	22324	17257	14658	14653	16586	11792	16048	16112	14737	19042	11961	19486	13319	1717
OTU_9	71	128	63	222	340	161	129	167	103	274	275	208	130	238	183	120	143	68	318	224	39
